Trace tail: last 500 steps before hitting 5M t-state limit.
Generated 2026-05-10. Full trace: 563808 steps, 5,000,008 t-states, iff1=false at cutoff.
Final PC at cutoff: 0x11E5 (inside RAMTOP-scan loop 2).

At the 5M t-state mark, the CPU is deep in loop 2 (0x11E2-0x11ED, scanning RAM upward).
Loop 2 takes ~4.1M t-states total. This trace is the middle of loop 2.

Extended trace (run-to-EI, 20M t-state limit) shows iff1=true at 5,705,613 t-states = 81.6 frames.

Columns: stepN, PC, opByte, A=, F=, BC=, DE=, HL=, SP=, I=, R=, iff1=, tStates=
638832, 0x11E3, 0xED, A=0x3F, F=0x3C, BC=0x00FF, DE=0xFFFF, HL=0xFFED, SP=0xFFFF, I=0x3F, R=0x5F, iff1=false, tStates=5700217
638833, 0x11E5, 0x19, A=0x3F, F=0xBB, BC=0x00FF, DE=0xFFFF, HL=0xFFEE, SP=0xFFFF, I=0x3F, R=0x61, iff1=false, tStates=5700232
638834, 0x11E6, 0x23, A=0x3F, F=0xB9, BC=0x00FF, DE=0xFFFF, HL=0xFFED, SP=0xFFFF, I=0x3F, R=0x62, iff1=false, tStates=5700243
638835, 0x11E7, 0x30, A=0x3F, F=0xB9, BC=0x00FF, DE=0xFFFF, HL=0xFFEE, SP=0xFFFF, I=0x3F, R=0x63, iff1=false, tStates=5700249
638836, 0x11E9, 0x35, A=0x3F, F=0xB9, BC=0x00FF, DE=0xFFFF, HL=0xFFEE, SP=0xFFFF, I=0x3F, R=0x64, iff1=false, tStates=5700256
638837, 0x11EA, 0x28, A=0x3F, F=0x03, BC=0x00FF, DE=0xFFFF, HL=0xFFEE, SP=0xFFFF, I=0x3F, R=0x65, iff1=false, tStates=5700267
638838, 0x11EC, 0x35, A=0x3F, F=0x03, BC=0x00FF, DE=0xFFFF, HL=0xFFEE, SP=0xFFFF, I=0x3F, R=0x66, iff1=false, tStates=5700274
638839, 0x11ED, 0x28, A=0x3F, F=0x43, BC=0x00FF, DE=0xFFFF, HL=0xFFEE, SP=0xFFFF, I=0x3F, R=0x67, iff1=false, tStates=5700285
638840, 0x11E2, 0xA7, A=0x3F, F=0x43, BC=0x00FF, DE=0xFFFF, HL=0xFFEE, SP=0xFFFF, I=0x3F, R=0x68, iff1=false, tStates=5700297
638841, 0x11E3, 0xED, A=0x3F, F=0x3C, BC=0x00FF, DE=0xFFFF, HL=0xFFEE, SP=0xFFFF, I=0x3F, R=0x69, iff1=false, tStates=5700301
638842, 0x11E5, 0x19, A=0x3F, F=0xBB, BC=0x00FF, DE=0xFFFF, HL=0xFFEF, SP=0xFFFF, I=0x3F, R=0x6B, iff1=false, tStates=5700316
638843, 0x11E6, 0x23, A=0x3F, F=0xB9, BC=0x00FF, DE=0xFFFF, HL=0xFFEE, SP=0xFFFF, I=0x3F, R=0x6C, iff1=false, tStates=5700327
638844, 0x11E7, 0x30, A=0x3F, F=0xB9, BC=0x00FF, DE=0xFFFF, HL=0xFFEF, SP=0xFFFF, I=0x3F, R=0x6D, iff1=false, tStates=5700333
638845, 0x11E9, 0x35, A=0x3F, F=0xB9, BC=0x00FF, DE=0xFFFF, HL=0xFFEF, SP=0xFFFF, I=0x3F, R=0x6E, iff1=false, tStates=5700340
638846, 0x11EA, 0x28, A=0x3F, F=0x03, BC=0x00FF, DE=0xFFFF, HL=0xFFEF, SP=0xFFFF, I=0x3F, R=0x6F, iff1=false, tStates=5700351
638847, 0x11EC, 0x35, A=0x3F, F=0x03, BC=0x00FF, DE=0xFFFF, HL=0xFFEF, SP=0xFFFF, I=0x3F, R=0x70, iff1=false, tStates=5700358
638848, 0x11ED, 0x28, A=0x3F, F=0x43, BC=0x00FF, DE=0xFFFF, HL=0xFFEF, SP=0xFFFF, I=0x3F, R=0x71, iff1=false, tStates=5700369
638849, 0x11E2, 0xA7, A=0x3F, F=0x43, BC=0x00FF, DE=0xFFFF, HL=0xFFEF, SP=0xFFFF, I=0x3F, R=0x72, iff1=false, tStates=5700381
638850, 0x11E3, 0xED, A=0x3F, F=0x3C, BC=0x00FF, DE=0xFFFF, HL=0xFFEF, SP=0xFFFF, I=0x3F, R=0x73, iff1=false, tStates=5700385
638851, 0x11E5, 0x19, A=0x3F, F=0xBB, BC=0x00FF, DE=0xFFFF, HL=0xFFF0, SP=0xFFFF, I=0x3F, R=0x75, iff1=false, tStates=5700400
638852, 0x11E6, 0x23, A=0x3F, F=0xB9, BC=0x00FF, DE=0xFFFF, HL=0xFFEF, SP=0xFFFF, I=0x3F, R=0x76, iff1=false, tStates=5700411
638853, 0x11E7, 0x30, A=0x3F, F=0xB9, BC=0x00FF, DE=0xFFFF, HL=0xFFF0, SP=0xFFFF, I=0x3F, R=0x77, iff1=false, tStates=5700417
638854, 0x11E9, 0x35, A=0x3F, F=0xB9, BC=0x00FF, DE=0xFFFF, HL=0xFFF0, SP=0xFFFF, I=0x3F, R=0x78, iff1=false, tStates=5700424
638855, 0x11EA, 0x28, A=0x3F, F=0x03, BC=0x00FF, DE=0xFFFF, HL=0xFFF0, SP=0xFFFF, I=0x3F, R=0x79, iff1=false, tStates=5700435
638856, 0x11EC, 0x35, A=0x3F, F=0x03, BC=0x00FF, DE=0xFFFF, HL=0xFFF0, SP=0xFFFF, I=0x3F, R=0x7A, iff1=false, tStates=5700442
638857, 0x11ED, 0x28, A=0x3F, F=0x43, BC=0x00FF, DE=0xFFFF, HL=0xFFF0, SP=0xFFFF, I=0x3F, R=0x7B, iff1=false, tStates=5700453
638858, 0x11E2, 0xA7, A=0x3F, F=0x43, BC=0x00FF, DE=0xFFFF, HL=0xFFF0, SP=0xFFFF, I=0x3F, R=0x7C, iff1=false, tStates=5700465
638859, 0x11E3, 0xED, A=0x3F, F=0x3C, BC=0x00FF, DE=0xFFFF, HL=0xFFF0, SP=0xFFFF, I=0x3F, R=0x7D, iff1=false, tStates=5700469
638860, 0x11E5, 0x19, A=0x3F, F=0xBB, BC=0x00FF, DE=0xFFFF, HL=0xFFF1, SP=0xFFFF, I=0x3F, R=0x7F, iff1=false, tStates=5700484
638861, 0x11E6, 0x23, A=0x3F, F=0xB9, BC=0x00FF, DE=0xFFFF, HL=0xFFF0, SP=0xFFFF, I=0x3F, R=0x00, iff1=false, tStates=5700495
638862, 0x11E7, 0x30, A=0x3F, F=0xB9, BC=0x00FF, DE=0xFFFF, HL=0xFFF1, SP=0xFFFF, I=0x3F, R=0x01, iff1=false, tStates=5700501
638863, 0x11E9, 0x35, A=0x3F, F=0xB9, BC=0x00FF, DE=0xFFFF, HL=0xFFF1, SP=0xFFFF, I=0x3F, R=0x02, iff1=false, tStates=5700508
638864, 0x11EA, 0x28, A=0x3F, F=0x03, BC=0x00FF, DE=0xFFFF, HL=0xFFF1, SP=0xFFFF, I=0x3F, R=0x03, iff1=false, tStates=5700519
638865, 0x11EC, 0x35, A=0x3F, F=0x03, BC=0x00FF, DE=0xFFFF, HL=0xFFF1, SP=0xFFFF, I=0x3F, R=0x04, iff1=false, tStates=5700526
638866, 0x11ED, 0x28, A=0x3F, F=0x43, BC=0x00FF, DE=0xFFFF, HL=0xFFF1, SP=0xFFFF, I=0x3F, R=0x05, iff1=false, tStates=5700537
638867, 0x11E2, 0xA7, A=0x3F, F=0x43, BC=0x00FF, DE=0xFFFF, HL=0xFFF1, SP=0xFFFF, I=0x3F, R=0x06, iff1=false, tStates=5700549
638868, 0x11E3, 0xED, A=0x3F, F=0x3C, BC=0x00FF, DE=0xFFFF, HL=0xFFF1, SP=0xFFFF, I=0x3F, R=0x07, iff1=false, tStates=5700553
638869, 0x11E5, 0x19, A=0x3F, F=0xBB, BC=0x00FF, DE=0xFFFF, HL=0xFFF2, SP=0xFFFF, I=0x3F, R=0x09, iff1=false, tStates=5700568
638870, 0x11E6, 0x23, A=0x3F, F=0xB9, BC=0x00FF, DE=0xFFFF, HL=0xFFF1, SP=0xFFFF, I=0x3F, R=0x0A, iff1=false, tStates=5700579
638871, 0x11E7, 0x30, A=0x3F, F=0xB9, BC=0x00FF, DE=0xFFFF, HL=0xFFF2, SP=0xFFFF, I=0x3F, R=0x0B, iff1=false, tStates=5700585
638872, 0x11E9, 0x35, A=0x3F, F=0xB9, BC=0x00FF, DE=0xFFFF, HL=0xFFF2, SP=0xFFFF, I=0x3F, R=0x0C, iff1=false, tStates=5700592
638873, 0x11EA, 0x28, A=0x3F, F=0x03, BC=0x00FF, DE=0xFFFF, HL=0xFFF2, SP=0xFFFF, I=0x3F, R=0x0D, iff1=false, tStates=5700603
638874, 0x11EC, 0x35, A=0x3F, F=0x03, BC=0x00FF, DE=0xFFFF, HL=0xFFF2, SP=0xFFFF, I=0x3F, R=0x0E, iff1=false, tStates=5700610
638875, 0x11ED, 0x28, A=0x3F, F=0x43, BC=0x00FF, DE=0xFFFF, HL=0xFFF2, SP=0xFFFF, I=0x3F, R=0x0F, iff1=false, tStates=5700621
638876, 0x11E2, 0xA7, A=0x3F, F=0x43, BC=0x00FF, DE=0xFFFF, HL=0xFFF2, SP=0xFFFF, I=0x3F, R=0x10, iff1=false, tStates=5700633
638877, 0x11E3, 0xED, A=0x3F, F=0x3C, BC=0x00FF, DE=0xFFFF, HL=0xFFF2, SP=0xFFFF, I=0x3F, R=0x11, iff1=false, tStates=5700637
638878, 0x11E5, 0x19, A=0x3F, F=0xBB, BC=0x00FF, DE=0xFFFF, HL=0xFFF3, SP=0xFFFF, I=0x3F, R=0x13, iff1=false, tStates=5700652
638879, 0x11E6, 0x23, A=0x3F, F=0xB9, BC=0x00FF, DE=0xFFFF, HL=0xFFF2, SP=0xFFFF, I=0x3F, R=0x14, iff1=false, tStates=5700663
638880, 0x11E7, 0x30, A=0x3F, F=0xB9, BC=0x00FF, DE=0xFFFF, HL=0xFFF3, SP=0xFFFF, I=0x3F, R=0x15, iff1=false, tStates=5700669
638881, 0x11E9, 0x35, A=0x3F, F=0xB9, BC=0x00FF, DE=0xFFFF, HL=0xFFF3, SP=0xFFFF, I=0x3F, R=0x16, iff1=false, tStates=5700676
638882, 0x11EA, 0x28, A=0x3F, F=0x03, BC=0x00FF, DE=0xFFFF, HL=0xFFF3, SP=0xFFFF, I=0x3F, R=0x17, iff1=false, tStates=5700687
638883, 0x11EC, 0x35, A=0x3F, F=0x03, BC=0x00FF, DE=0xFFFF, HL=0xFFF3, SP=0xFFFF, I=0x3F, R=0x18, iff1=false, tStates=5700694
638884, 0x11ED, 0x28, A=0x3F, F=0x43, BC=0x00FF, DE=0xFFFF, HL=0xFFF3, SP=0xFFFF, I=0x3F, R=0x19, iff1=false, tStates=5700705
638885, 0x11E2, 0xA7, A=0x3F, F=0x43, BC=0x00FF, DE=0xFFFF, HL=0xFFF3, SP=0xFFFF, I=0x3F, R=0x1A, iff1=false, tStates=5700717
638886, 0x11E3, 0xED, A=0x3F, F=0x3C, BC=0x00FF, DE=0xFFFF, HL=0xFFF3, SP=0xFFFF, I=0x3F, R=0x1B, iff1=false, tStates=5700721
638887, 0x11E5, 0x19, A=0x3F, F=0xBB, BC=0x00FF, DE=0xFFFF, HL=0xFFF4, SP=0xFFFF, I=0x3F, R=0x1D, iff1=false, tStates=5700736
638888, 0x11E6, 0x23, A=0x3F, F=0xB9, BC=0x00FF, DE=0xFFFF, HL=0xFFF3, SP=0xFFFF, I=0x3F, R=0x1E, iff1=false, tStates=5700747
638889, 0x11E7, 0x30, A=0x3F, F=0xB9, BC=0x00FF, DE=0xFFFF, HL=0xFFF4, SP=0xFFFF, I=0x3F, R=0x1F, iff1=false, tStates=5700753
638890, 0x11E9, 0x35, A=0x3F, F=0xB9, BC=0x00FF, DE=0xFFFF, HL=0xFFF4, SP=0xFFFF, I=0x3F, R=0x20, iff1=false, tStates=5700760
638891, 0x11EA, 0x28, A=0x3F, F=0x03, BC=0x00FF, DE=0xFFFF, HL=0xFFF4, SP=0xFFFF, I=0x3F, R=0x21, iff1=false, tStates=5700771
638892, 0x11EC, 0x35, A=0x3F, F=0x03, BC=0x00FF, DE=0xFFFF, HL=0xFFF4, SP=0xFFFF, I=0x3F, R=0x22, iff1=false, tStates=5700778
638893, 0x11ED, 0x28, A=0x3F, F=0x43, BC=0x00FF, DE=0xFFFF, HL=0xFFF4, SP=0xFFFF, I=0x3F, R=0x23, iff1=false, tStates=5700789
638894, 0x11E2, 0xA7, A=0x3F, F=0x43, BC=0x00FF, DE=0xFFFF, HL=0xFFF4, SP=0xFFFF, I=0x3F, R=0x24, iff1=false, tStates=5700801
638895, 0x11E3, 0xED, A=0x3F, F=0x3C, BC=0x00FF, DE=0xFFFF, HL=0xFFF4, SP=0xFFFF, I=0x3F, R=0x25, iff1=false, tStates=5700805
638896, 0x11E5, 0x19, A=0x3F, F=0xBB, BC=0x00FF, DE=0xFFFF, HL=0xFFF5, SP=0xFFFF, I=0x3F, R=0x27, iff1=false, tStates=5700820
638897, 0x11E6, 0x23, A=0x3F, F=0xB9, BC=0x00FF, DE=0xFFFF, HL=0xFFF4, SP=0xFFFF, I=0x3F, R=0x28, iff1=false, tStates=5700831
638898, 0x11E7, 0x30, A=0x3F, F=0xB9, BC=0x00FF, DE=0xFFFF, HL=0xFFF5, SP=0xFFFF, I=0x3F, R=0x29, iff1=false, tStates=5700837
638899, 0x11E9, 0x35, A=0x3F, F=0xB9, BC=0x00FF, DE=0xFFFF, HL=0xFFF5, SP=0xFFFF, I=0x3F, R=0x2A, iff1=false, tStates=5700844
638900, 0x11EA, 0x28, A=0x3F, F=0x03, BC=0x00FF, DE=0xFFFF, HL=0xFFF5, SP=0xFFFF, I=0x3F, R=0x2B, iff1=false, tStates=5700855
638901, 0x11EC, 0x35, A=0x3F, F=0x03, BC=0x00FF, DE=0xFFFF, HL=0xFFF5, SP=0xFFFF, I=0x3F, R=0x2C, iff1=false, tStates=5700862
638902, 0x11ED, 0x28, A=0x3F, F=0x43, BC=0x00FF, DE=0xFFFF, HL=0xFFF5, SP=0xFFFF, I=0x3F, R=0x2D, iff1=false, tStates=5700873
638903, 0x11E2, 0xA7, A=0x3F, F=0x43, BC=0x00FF, DE=0xFFFF, HL=0xFFF5, SP=0xFFFF, I=0x3F, R=0x2E, iff1=false, tStates=5700885
638904, 0x11E3, 0xED, A=0x3F, F=0x3C, BC=0x00FF, DE=0xFFFF, HL=0xFFF5, SP=0xFFFF, I=0x3F, R=0x2F, iff1=false, tStates=5700889
638905, 0x11E5, 0x19, A=0x3F, F=0xBB, BC=0x00FF, DE=0xFFFF, HL=0xFFF6, SP=0xFFFF, I=0x3F, R=0x31, iff1=false, tStates=5700904
638906, 0x11E6, 0x23, A=0x3F, F=0xB9, BC=0x00FF, DE=0xFFFF, HL=0xFFF5, SP=0xFFFF, I=0x3F, R=0x32, iff1=false, tStates=5700915
638907, 0x11E7, 0x30, A=0x3F, F=0xB9, BC=0x00FF, DE=0xFFFF, HL=0xFFF6, SP=0xFFFF, I=0x3F, R=0x33, iff1=false, tStates=5700921
638908, 0x11E9, 0x35, A=0x3F, F=0xB9, BC=0x00FF, DE=0xFFFF, HL=0xFFF6, SP=0xFFFF, I=0x3F, R=0x34, iff1=false, tStates=5700928
638909, 0x11EA, 0x28, A=0x3F, F=0x03, BC=0x00FF, DE=0xFFFF, HL=0xFFF6, SP=0xFFFF, I=0x3F, R=0x35, iff1=false, tStates=5700939
638910, 0x11EC, 0x35, A=0x3F, F=0x03, BC=0x00FF, DE=0xFFFF, HL=0xFFF6, SP=0xFFFF, I=0x3F, R=0x36, iff1=false, tStates=5700946
638911, 0x11ED, 0x28, A=0x3F, F=0x43, BC=0x00FF, DE=0xFFFF, HL=0xFFF6, SP=0xFFFF, I=0x3F, R=0x37, iff1=false, tStates=5700957
638912, 0x11E2, 0xA7, A=0x3F, F=0x43, BC=0x00FF, DE=0xFFFF, HL=0xFFF6, SP=0xFFFF, I=0x3F, R=0x38, iff1=false, tStates=5700969
638913, 0x11E3, 0xED, A=0x3F, F=0x3C, BC=0x00FF, DE=0xFFFF, HL=0xFFF6, SP=0xFFFF, I=0x3F, R=0x39, iff1=false, tStates=5700973
638914, 0x11E5, 0x19, A=0x3F, F=0xBB, BC=0x00FF, DE=0xFFFF, HL=0xFFF7, SP=0xFFFF, I=0x3F, R=0x3B, iff1=false, tStates=5700988
638915, 0x11E6, 0x23, A=0x3F, F=0xB9, BC=0x00FF, DE=0xFFFF, HL=0xFFF6, SP=0xFFFF, I=0x3F, R=0x3C, iff1=false, tStates=5700999
638916, 0x11E7, 0x30, A=0x3F, F=0xB9, BC=0x00FF, DE=0xFFFF, HL=0xFFF7, SP=0xFFFF, I=0x3F, R=0x3D, iff1=false, tStates=5701005
638917, 0x11E9, 0x35, A=0x3F, F=0xB9, BC=0x00FF, DE=0xFFFF, HL=0xFFF7, SP=0xFFFF, I=0x3F, R=0x3E, iff1=false, tStates=5701012
638918, 0x11EA, 0x28, A=0x3F, F=0x03, BC=0x00FF, DE=0xFFFF, HL=0xFFF7, SP=0xFFFF, I=0x3F, R=0x3F, iff1=false, tStates=5701023
638919, 0x11EC, 0x35, A=0x3F, F=0x03, BC=0x00FF, DE=0xFFFF, HL=0xFFF7, SP=0xFFFF, I=0x3F, R=0x40, iff1=false, tStates=5701030
638920, 0x11ED, 0x28, A=0x3F, F=0x43, BC=0x00FF, DE=0xFFFF, HL=0xFFF7, SP=0xFFFF, I=0x3F, R=0x41, iff1=false, tStates=5701041
638921, 0x11E2, 0xA7, A=0x3F, F=0x43, BC=0x00FF, DE=0xFFFF, HL=0xFFF7, SP=0xFFFF, I=0x3F, R=0x42, iff1=false, tStates=5701053
638922, 0x11E3, 0xED, A=0x3F, F=0x3C, BC=0x00FF, DE=0xFFFF, HL=0xFFF7, SP=0xFFFF, I=0x3F, R=0x43, iff1=false, tStates=5701057
638923, 0x11E5, 0x19, A=0x3F, F=0xBB, BC=0x00FF, DE=0xFFFF, HL=0xFFF8, SP=0xFFFF, I=0x3F, R=0x45, iff1=false, tStates=5701072
638924, 0x11E6, 0x23, A=0x3F, F=0xB9, BC=0x00FF, DE=0xFFFF, HL=0xFFF7, SP=0xFFFF, I=0x3F, R=0x46, iff1=false, tStates=5701083
638925, 0x11E7, 0x30, A=0x3F, F=0xB9, BC=0x00FF, DE=0xFFFF, HL=0xFFF8, SP=0xFFFF, I=0x3F, R=0x47, iff1=false, tStates=5701089
638926, 0x11E9, 0x35, A=0x3F, F=0xB9, BC=0x00FF, DE=0xFFFF, HL=0xFFF8, SP=0xFFFF, I=0x3F, R=0x48, iff1=false, tStates=5701096
638927, 0x11EA, 0x28, A=0x3F, F=0x03, BC=0x00FF, DE=0xFFFF, HL=0xFFF8, SP=0xFFFF, I=0x3F, R=0x49, iff1=false, tStates=5701107
638928, 0x11EC, 0x35, A=0x3F, F=0x03, BC=0x00FF, DE=0xFFFF, HL=0xFFF8, SP=0xFFFF, I=0x3F, R=0x4A, iff1=false, tStates=5701114
638929, 0x11ED, 0x28, A=0x3F, F=0x43, BC=0x00FF, DE=0xFFFF, HL=0xFFF8, SP=0xFFFF, I=0x3F, R=0x4B, iff1=false, tStates=5701125
638930, 0x11E2, 0xA7, A=0x3F, F=0x43, BC=0x00FF, DE=0xFFFF, HL=0xFFF8, SP=0xFFFF, I=0x3F, R=0x4C, iff1=false, tStates=5701137
638931, 0x11E3, 0xED, A=0x3F, F=0x3C, BC=0x00FF, DE=0xFFFF, HL=0xFFF8, SP=0xFFFF, I=0x3F, R=0x4D, iff1=false, tStates=5701141
638932, 0x11E5, 0x19, A=0x3F, F=0xBB, BC=0x00FF, DE=0xFFFF, HL=0xFFF9, SP=0xFFFF, I=0x3F, R=0x4F, iff1=false, tStates=5701156
638933, 0x11E6, 0x23, A=0x3F, F=0xB9, BC=0x00FF, DE=0xFFFF, HL=0xFFF8, SP=0xFFFF, I=0x3F, R=0x50, iff1=false, tStates=5701167
638934, 0x11E7, 0x30, A=0x3F, F=0xB9, BC=0x00FF, DE=0xFFFF, HL=0xFFF9, SP=0xFFFF, I=0x3F, R=0x51, iff1=false, tStates=5701173
638935, 0x11E9, 0x35, A=0x3F, F=0xB9, BC=0x00FF, DE=0xFFFF, HL=0xFFF9, SP=0xFFFF, I=0x3F, R=0x52, iff1=false, tStates=5701180
638936, 0x11EA, 0x28, A=0x3F, F=0x03, BC=0x00FF, DE=0xFFFF, HL=0xFFF9, SP=0xFFFF, I=0x3F, R=0x53, iff1=false, tStates=5701191
638937, 0x11EC, 0x35, A=0x3F, F=0x03, BC=0x00FF, DE=0xFFFF, HL=0xFFF9, SP=0xFFFF, I=0x3F, R=0x54, iff1=false, tStates=5701198
638938, 0x11ED, 0x28, A=0x3F, F=0x43, BC=0x00FF, DE=0xFFFF, HL=0xFFF9, SP=0xFFFF, I=0x3F, R=0x55, iff1=false, tStates=5701209
638939, 0x11E2, 0xA7, A=0x3F, F=0x43, BC=0x00FF, DE=0xFFFF, HL=0xFFF9, SP=0xFFFF, I=0x3F, R=0x56, iff1=false, tStates=5701221
638940, 0x11E3, 0xED, A=0x3F, F=0x3C, BC=0x00FF, DE=0xFFFF, HL=0xFFF9, SP=0xFFFF, I=0x3F, R=0x57, iff1=false, tStates=5701225
638941, 0x11E5, 0x19, A=0x3F, F=0xBB, BC=0x00FF, DE=0xFFFF, HL=0xFFFA, SP=0xFFFF, I=0x3F, R=0x59, iff1=false, tStates=5701240
638942, 0x11E6, 0x23, A=0x3F, F=0xB9, BC=0x00FF, DE=0xFFFF, HL=0xFFF9, SP=0xFFFF, I=0x3F, R=0x5A, iff1=false, tStates=5701251
638943, 0x11E7, 0x30, A=0x3F, F=0xB9, BC=0x00FF, DE=0xFFFF, HL=0xFFFA, SP=0xFFFF, I=0x3F, R=0x5B, iff1=false, tStates=5701257
638944, 0x11E9, 0x35, A=0x3F, F=0xB9, BC=0x00FF, DE=0xFFFF, HL=0xFFFA, SP=0xFFFF, I=0x3F, R=0x5C, iff1=false, tStates=5701264
638945, 0x11EA, 0x28, A=0x3F, F=0x03, BC=0x00FF, DE=0xFFFF, HL=0xFFFA, SP=0xFFFF, I=0x3F, R=0x5D, iff1=false, tStates=5701275
638946, 0x11EC, 0x35, A=0x3F, F=0x03, BC=0x00FF, DE=0xFFFF, HL=0xFFFA, SP=0xFFFF, I=0x3F, R=0x5E, iff1=false, tStates=5701282
638947, 0x11ED, 0x28, A=0x3F, F=0x43, BC=0x00FF, DE=0xFFFF, HL=0xFFFA, SP=0xFFFF, I=0x3F, R=0x5F, iff1=false, tStates=5701293
638948, 0x11E2, 0xA7, A=0x3F, F=0x43, BC=0x00FF, DE=0xFFFF, HL=0xFFFA, SP=0xFFFF, I=0x3F, R=0x60, iff1=false, tStates=5701305
638949, 0x11E3, 0xED, A=0x3F, F=0x3C, BC=0x00FF, DE=0xFFFF, HL=0xFFFA, SP=0xFFFF, I=0x3F, R=0x61, iff1=false, tStates=5701309
638950, 0x11E5, 0x19, A=0x3F, F=0xBB, BC=0x00FF, DE=0xFFFF, HL=0xFFFB, SP=0xFFFF, I=0x3F, R=0x63, iff1=false, tStates=5701324
638951, 0x11E6, 0x23, A=0x3F, F=0xB9, BC=0x00FF, DE=0xFFFF, HL=0xFFFA, SP=0xFFFF, I=0x3F, R=0x64, iff1=false, tStates=5701335
638952, 0x11E7, 0x30, A=0x3F, F=0xB9, BC=0x00FF, DE=0xFFFF, HL=0xFFFB, SP=0xFFFF, I=0x3F, R=0x65, iff1=false, tStates=5701341
638953, 0x11E9, 0x35, A=0x3F, F=0xB9, BC=0x00FF, DE=0xFFFF, HL=0xFFFB, SP=0xFFFF, I=0x3F, R=0x66, iff1=false, tStates=5701348
638954, 0x11EA, 0x28, A=0x3F, F=0x03, BC=0x00FF, DE=0xFFFF, HL=0xFFFB, SP=0xFFFF, I=0x3F, R=0x67, iff1=false, tStates=5701359
638955, 0x11EC, 0x35, A=0x3F, F=0x03, BC=0x00FF, DE=0xFFFF, HL=0xFFFB, SP=0xFFFF, I=0x3F, R=0x68, iff1=false, tStates=5701366
638956, 0x11ED, 0x28, A=0x3F, F=0x43, BC=0x00FF, DE=0xFFFF, HL=0xFFFB, SP=0xFFFF, I=0x3F, R=0x69, iff1=false, tStates=5701377
638957, 0x11E2, 0xA7, A=0x3F, F=0x43, BC=0x00FF, DE=0xFFFF, HL=0xFFFB, SP=0xFFFF, I=0x3F, R=0x6A, iff1=false, tStates=5701389
638958, 0x11E3, 0xED, A=0x3F, F=0x3C, BC=0x00FF, DE=0xFFFF, HL=0xFFFB, SP=0xFFFF, I=0x3F, R=0x6B, iff1=false, tStates=5701393
638959, 0x11E5, 0x19, A=0x3F, F=0xBB, BC=0x00FF, DE=0xFFFF, HL=0xFFFC, SP=0xFFFF, I=0x3F, R=0x6D, iff1=false, tStates=5701408
638960, 0x11E6, 0x23, A=0x3F, F=0xB9, BC=0x00FF, DE=0xFFFF, HL=0xFFFB, SP=0xFFFF, I=0x3F, R=0x6E, iff1=false, tStates=5701419
638961, 0x11E7, 0x30, A=0x3F, F=0xB9, BC=0x00FF, DE=0xFFFF, HL=0xFFFC, SP=0xFFFF, I=0x3F, R=0x6F, iff1=false, tStates=5701425
638962, 0x11E9, 0x35, A=0x3F, F=0xB9, BC=0x00FF, DE=0xFFFF, HL=0xFFFC, SP=0xFFFF, I=0x3F, R=0x70, iff1=false, tStates=5701432
638963, 0x11EA, 0x28, A=0x3F, F=0x03, BC=0x00FF, DE=0xFFFF, HL=0xFFFC, SP=0xFFFF, I=0x3F, R=0x71, iff1=false, tStates=5701443
638964, 0x11EC, 0x35, A=0x3F, F=0x03, BC=0x00FF, DE=0xFFFF, HL=0xFFFC, SP=0xFFFF, I=0x3F, R=0x72, iff1=false, tStates=5701450
638965, 0x11ED, 0x28, A=0x3F, F=0x43, BC=0x00FF, DE=0xFFFF, HL=0xFFFC, SP=0xFFFF, I=0x3F, R=0x73, iff1=false, tStates=5701461
638966, 0x11E2, 0xA7, A=0x3F, F=0x43, BC=0x00FF, DE=0xFFFF, HL=0xFFFC, SP=0xFFFF, I=0x3F, R=0x74, iff1=false, tStates=5701473
638967, 0x11E3, 0xED, A=0x3F, F=0x3C, BC=0x00FF, DE=0xFFFF, HL=0xFFFC, SP=0xFFFF, I=0x3F, R=0x75, iff1=false, tStates=5701477
638968, 0x11E5, 0x19, A=0x3F, F=0xBB, BC=0x00FF, DE=0xFFFF, HL=0xFFFD, SP=0xFFFF, I=0x3F, R=0x77, iff1=false, tStates=5701492
638969, 0x11E6, 0x23, A=0x3F, F=0xB9, BC=0x00FF, DE=0xFFFF, HL=0xFFFC, SP=0xFFFF, I=0x3F, R=0x78, iff1=false, tStates=5701503
638970, 0x11E7, 0x30, A=0x3F, F=0xB9, BC=0x00FF, DE=0xFFFF, HL=0xFFFD, SP=0xFFFF, I=0x3F, R=0x79, iff1=false, tStates=5701509
638971, 0x11E9, 0x35, A=0x3F, F=0xB9, BC=0x00FF, DE=0xFFFF, HL=0xFFFD, SP=0xFFFF, I=0x3F, R=0x7A, iff1=false, tStates=5701516
638972, 0x11EA, 0x28, A=0x3F, F=0x03, BC=0x00FF, DE=0xFFFF, HL=0xFFFD, SP=0xFFFF, I=0x3F, R=0x7B, iff1=false, tStates=5701527
638973, 0x11EC, 0x35, A=0x3F, F=0x03, BC=0x00FF, DE=0xFFFF, HL=0xFFFD, SP=0xFFFF, I=0x3F, R=0x7C, iff1=false, tStates=5701534
638974, 0x11ED, 0x28, A=0x3F, F=0x43, BC=0x00FF, DE=0xFFFF, HL=0xFFFD, SP=0xFFFF, I=0x3F, R=0x7D, iff1=false, tStates=5701545
638975, 0x11E2, 0xA7, A=0x3F, F=0x43, BC=0x00FF, DE=0xFFFF, HL=0xFFFD, SP=0xFFFF, I=0x3F, R=0x7E, iff1=false, tStates=5701557
