Trace tail: last 500 steps before hitting 5M t-state limit.
Generated 2026-05-10. Full trace: 563808 steps, 5,000,008 t-states, iff1=false at cutoff.
Final PC at cutoff: 0x11E5 (inside RAMTOP-scan loop 2).

At the 5M t-state mark, the CPU is deep in loop 2 (0x11E2-0x11ED, scanning RAM upward).
Loop 2 takes ~4.1M t-states total. This trace is the middle of loop 2.

Extended trace (run-to-EI, 20M t-state limit) shows iff1=true at 5,705,613 t-states = 81.6 frames.

Columns: stepN, PC, opByte, A=, F=, BC=, DE=, HL=, SP=, I=, R=, iff1=, tStates=
638727, 0x11E7, 0x30, A=0x3F, F=0xB9, BC=0x00FF, DE=0xFFFF, HL=0xFFE2, SP=0xFFFF, I=0x3F, R=0x6B, iff1=false, tStates=5699241
638728, 0x11E9, 0x35, A=0x3F, F=0xB9, BC=0x00FF, DE=0xFFFF, HL=0xFFE2, SP=0xFFFF, I=0x3F, R=0x6C, iff1=false, tStates=5699248
638729, 0x11EA, 0x28, A=0x3F, F=0x03, BC=0x00FF, DE=0xFFFF, HL=0xFFE2, SP=0xFFFF, I=0x3F, R=0x6D, iff1=false, tStates=5699259
638730, 0x11EC, 0x35, A=0x3F, F=0x03, BC=0x00FF, DE=0xFFFF, HL=0xFFE2, SP=0xFFFF, I=0x3F, R=0x6E, iff1=false, tStates=5699266
638731, 0x11ED, 0x28, A=0x3F, F=0x43, BC=0x00FF, DE=0xFFFF, HL=0xFFE2, SP=0xFFFF, I=0x3F, R=0x6F, iff1=false, tStates=5699277
638732, 0x11E2, 0xA7, A=0x3F, F=0x43, BC=0x00FF, DE=0xFFFF, HL=0xFFE2, SP=0xFFFF, I=0x3F, R=0x70, iff1=false, tStates=5699289
638733, 0x11E3, 0xED, A=0x3F, F=0x3C, BC=0x00FF, DE=0xFFFF, HL=0xFFE2, SP=0xFFFF, I=0x3F, R=0x71, iff1=false, tStates=5699293
638734, 0x11E5, 0x19, A=0x3F, F=0xBB, BC=0x00FF, DE=0xFFFF, HL=0xFFE3, SP=0xFFFF, I=0x3F, R=0x73, iff1=false, tStates=5699308
638735, 0x11E6, 0x23, A=0x3F, F=0xB9, BC=0x00FF, DE=0xFFFF, HL=0xFFE2, SP=0xFFFF, I=0x3F, R=0x74, iff1=false, tStates=5699319
638736, 0x11E7, 0x30, A=0x3F, F=0xB9, BC=0x00FF, DE=0xFFFF, HL=0xFFE3, SP=0xFFFF, I=0x3F, R=0x75, iff1=false, tStates=5699325
638737, 0x11E9, 0x35, A=0x3F, F=0xB9, BC=0x00FF, DE=0xFFFF, HL=0xFFE3, SP=0xFFFF, I=0x3F, R=0x76, iff1=false, tStates=5699332
638738, 0x11EA, 0x28, A=0x3F, F=0x03, BC=0x00FF, DE=0xFFFF, HL=0xFFE3, SP=0xFFFF, I=0x3F, R=0x77, iff1=false, tStates=5699343
638739, 0x11EC, 0x35, A=0x3F, F=0x03, BC=0x00FF, DE=0xFFFF, HL=0xFFE3, SP=0xFFFF, I=0x3F, R=0x78, iff1=false, tStates=5699350
638740, 0x11ED, 0x28, A=0x3F, F=0x43, BC=0x00FF, DE=0xFFFF, HL=0xFFE3, SP=0xFFFF, I=0x3F, R=0x79, iff1=false, tStates=5699361
638741, 0x11E2, 0xA7, A=0x3F, F=0x43, BC=0x00FF, DE=0xFFFF, HL=0xFFE3, SP=0xFFFF, I=0x3F, R=0x7A, iff1=false, tStates=5699373
638742, 0x11E3, 0xED, A=0x3F, F=0x3C, BC=0x00FF, DE=0xFFFF, HL=0xFFE3, SP=0xFFFF, I=0x3F, R=0x7B, iff1=false, tStates=5699377
638743, 0x11E5, 0x19, A=0x3F, F=0xBB, BC=0x00FF, DE=0xFFFF, HL=0xFFE4, SP=0xFFFF, I=0x3F, R=0x7D, iff1=false, tStates=5699392
638744, 0x11E6, 0x23, A=0x3F, F=0xB9, BC=0x00FF, DE=0xFFFF, HL=0xFFE3, SP=0xFFFF, I=0x3F, R=0x7E, iff1=false, tStates=5699403
638745, 0x11E7, 0x30, A=0x3F, F=0xB9, BC=0x00FF, DE=0xFFFF, HL=0xFFE4, SP=0xFFFF, I=0x3F, R=0x7F, iff1=false, tStates=5699409
638746, 0x11E9, 0x35, A=0x3F, F=0xB9, BC=0x00FF, DE=0xFFFF, HL=0xFFE4, SP=0xFFFF, I=0x3F, R=0x00, iff1=false, tStates=5699416
638747, 0x11EA, 0x28, A=0x3F, F=0x03, BC=0x00FF, DE=0xFFFF, HL=0xFFE4, SP=0xFFFF, I=0x3F, R=0x01, iff1=false, tStates=5699427
638748, 0x11EC, 0x35, A=0x3F, F=0x03, BC=0x00FF, DE=0xFFFF, HL=0xFFE4, SP=0xFFFF, I=0x3F, R=0x02, iff1=false, tStates=5699434
638749, 0x11ED, 0x28, A=0x3F, F=0x43, BC=0x00FF, DE=0xFFFF, HL=0xFFE4, SP=0xFFFF, I=0x3F, R=0x03, iff1=false, tStates=5699445
638750, 0x11E2, 0xA7, A=0x3F, F=0x43, BC=0x00FF, DE=0xFFFF, HL=0xFFE4, SP=0xFFFF, I=0x3F, R=0x04, iff1=false, tStates=5699457
638751, 0x11E3, 0xED, A=0x3F, F=0x3C, BC=0x00FF, DE=0xFFFF, HL=0xFFE4, SP=0xFFFF, I=0x3F, R=0x05, iff1=false, tStates=5699461
638752, 0x11E5, 0x19, A=0x3F, F=0xBB, BC=0x00FF, DE=0xFFFF, HL=0xFFE5, SP=0xFFFF, I=0x3F, R=0x07, iff1=false, tStates=5699476
638753, 0x11E6, 0x23, A=0x3F, F=0xB9, BC=0x00FF, DE=0xFFFF, HL=0xFFE4, SP=0xFFFF, I=0x3F, R=0x08, iff1=false, tStates=5699487
638754, 0x11E7, 0x30, A=0x3F, F=0xB9, BC=0x00FF, DE=0xFFFF, HL=0xFFE5, SP=0xFFFF, I=0x3F, R=0x09, iff1=false, tStates=5699493
638755, 0x11E9, 0x35, A=0x3F, F=0xB9, BC=0x00FF, DE=0xFFFF, HL=0xFFE5, SP=0xFFFF, I=0x3F, R=0x0A, iff1=false, tStates=5699500
638756, 0x11EA, 0x28, A=0x3F, F=0x03, BC=0x00FF, DE=0xFFFF, HL=0xFFE5, SP=0xFFFF, I=0x3F, R=0x0B, iff1=false, tStates=5699511
638757, 0x11EC, 0x35, A=0x3F, F=0x03, BC=0x00FF, DE=0xFFFF, HL=0xFFE5, SP=0xFFFF, I=0x3F, R=0x0C, iff1=false, tStates=5699518
638758, 0x11ED, 0x28, A=0x3F, F=0x43, BC=0x00FF, DE=0xFFFF, HL=0xFFE5, SP=0xFFFF, I=0x3F, R=0x0D, iff1=false, tStates=5699529
638759, 0x11E2, 0xA7, A=0x3F, F=0x43, BC=0x00FF, DE=0xFFFF, HL=0xFFE5, SP=0xFFFF, I=0x3F, R=0x0E, iff1=false, tStates=5699541
638760, 0x11E3, 0xED, A=0x3F, F=0x3C, BC=0x00FF, DE=0xFFFF, HL=0xFFE5, SP=0xFFFF, I=0x3F, R=0x0F, iff1=false, tStates=5699545
638761, 0x11E5, 0x19, A=0x3F, F=0xBB, BC=0x00FF, DE=0xFFFF, HL=0xFFE6, SP=0xFFFF, I=0x3F, R=0x11, iff1=false, tStates=5699560
638762, 0x11E6, 0x23, A=0x3F, F=0xB9, BC=0x00FF, DE=0xFFFF, HL=0xFFE5, SP=0xFFFF, I=0x3F, R=0x12, iff1=false, tStates=5699571
638763, 0x11E7, 0x30, A=0x3F, F=0xB9, BC=0x00FF, DE=0xFFFF, HL=0xFFE6, SP=0xFFFF, I=0x3F, R=0x13, iff1=false, tStates=5699577
638764, 0x11E9, 0x35, A=0x3F, F=0xB9, BC=0x00FF, DE=0xFFFF, HL=0xFFE6, SP=0xFFFF, I=0x3F, R=0x14, iff1=false, tStates=5699584
638765, 0x11EA, 0x28, A=0x3F, F=0x03, BC=0x00FF, DE=0xFFFF, HL=0xFFE6, SP=0xFFFF, I=0x3F, R=0x15, iff1=false, tStates=5699595
638766, 0x11EC, 0x35, A=0x3F, F=0x03, BC=0x00FF, DE=0xFFFF, HL=0xFFE6, SP=0xFFFF, I=0x3F, R=0x16, iff1=false, tStates=5699602
638767, 0x11ED, 0x28, A=0x3F, F=0x43, BC=0x00FF, DE=0xFFFF, HL=0xFFE6, SP=0xFFFF, I=0x3F, R=0x17, iff1=false, tStates=5699613
